"","id","RGPTS_persecution","RGPTS_reference","puzzle_score","med_rt","age","gender","educatino"
"1",3323428,22,21,2,34491,24,"Female","High school degree or equivalent (e.g."
"2",4266797,10,10,2,26909.5,31,"Female","Graduate degree"
"3",4557132,10,18,3,25831,23,"Male","College"
"4",8916873,17,15,1,28425.5,35,"Male","College"
"5",9265142,23,22,3,41438.5,24,"Male","College"
"6",18670203,11,9,6,23918.5,25,"Male","College"
"7",19927220,20,20,3,43646,57,"Female","College"
"8",41803106,18,24,5,15726,25,"Male","Graduate degree"
"9",57576363,10,12,0,6624,19,"Male","High school degree or equivalent (e.g."
"10",58925418,25,25,3,11540.5,20,"Male","College"
"11",60713715,24,16,5,32780.5,24,"Male","College"
"12",82025629,13,13,5,22163,25,"Male","Graduate degree"
"13",82950014,12,22,5,26928.5,40,"Male","College"
"14",100582577,12,12,0,30431.5,55,"Female","College"
"15",114323060,20,25,2,35114,22,"Male","College"
"16",119249759,11,12,4,27175,29,"Female","College"
"17",120906109,12,18,4,25631.5,46,"Female","Graduate degree"
"18",130781440,19,17,2,40736.5,21,"Male","High school degree or equivalent (e.g."
"19",134493222,29,28,4,34738.5,26,"Male","Graduate degree"
"20",137704000,10,19,2,17542,25,"Female","College"
"21",140360820,18,23,5,46679,22,"Male","College"
"22",146442483,42,35,1,77782.5,31,"Female","College"
"23",149606453,28,23,4,13663.5,20,"Male","High school degree or equivalent (e.g."
"24",158764984,12,11,5,44711,39,"Female","Graduate degree"
"25",160011641,25,28,1,31519.5,37,"Female","College"
"26",171229249,22,27,2,13101,44,"Female","High school degree or equivalent (e.g."
"27",174630543,19,18,2,41535,23,"Male","College"
"28",195147712,17,16,3,27681.5,23,"Female","College"
"29",202444061,28,24,1,29250,30,"Female","Graduate degree"
"30",229595508,19,21,6,23054.5,20,"Male","College"
"31",233534425,10,9,2,28253,46,"Male","Graduate degree"
"32",235811154,17,24,4,43767,25,"Female","Graduate degree"
"33",238220667,25,24,0,18914.5,29,"Female","Graduate degree"
"34",245535232,10,17,2,9274.5,37,"Male","High school degree or equivalent (e.g."
"35",248964082,10,14,4,42952.5,34,"Female","College"
"36",257011846,12,12,5,28026.5,23,"Female","College"
"37",295950629,50,19,1,13611.5,25,"Female","Graduate degree"
"38",299001148,10,8,4,31361.5,33,"Male","Graduate degree"
"39",299146055,25,24,2,34722,19,"Female","High school degree or equivalent (e.g."
"40",309849678,24,25,1,16262,57,"Male","Graduate degree"
"41",311343495,17,16,5,30942,18,"Male","High school degree or equivalent (e.g."
"42",313065998,27,17,3,24699,18,"Female","High school degree or equivalent (e.g."
"43",317840244,30,22,5,11922.5,24,"Male","College"
